영업일자,매출수량,month,season,is_weekend,is_holiday,is_day_off,영업장명,메뉴명
2023-01-01,0,1,Winter,1,1,1,느티나무 셀프BBQ,1인 수저세트
2023-01-02,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-03,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-04,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-05,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-06,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-07,0,1,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-01-08,0,1,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-01-09,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-10,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-11,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-12,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-13,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-14,0,1,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-01-15,0,1,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-01-16,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-17,8,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-18,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-19,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-20,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-21,0,1,Winter,1,1,1,느티나무 셀프BBQ,1인 수저세트
2023-01-22,0,1,Winter,1,1,1,느티나무 셀프BBQ,1인 수저세트
2023-01-23,4,1,Winter,0,1,1,느티나무 셀프BBQ,1인 수저세트
2023-01-24,2,1,Winter,0,1,1,느티나무 셀프BBQ,1인 수저세트
2023-01-25,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-26,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-27,8,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-28,0,1,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-01-29,8,1,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-01-30,0,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-01-31,4,1,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-01,6,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-02,2,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-03,0,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-04,2,2,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-02-05,2,2,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-02-06,4,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-07,5,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-08,0,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-09,6,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-10,6,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-11,3,2,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-02-12,0,2,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-02-13,10,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-14,11,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-15,0,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-16,0,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-17,0,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-18,9,2,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-02-19,2,2,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-02-20,10,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-21,0,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-22,2,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-23,0,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-24,8,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-25,7,2,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-02-26,0,2,Winter,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-02-27,6,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-02-28,0,2,Winter,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-01,0,3,Spring,0,1,1,느티나무 셀프BBQ,1인 수저세트
2023-03-02,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-03,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-04,0,3,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-03-05,0,3,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-03-06,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-07,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-08,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-09,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-10,6,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-11,0,3,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-03-12,0,3,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-03-13,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-14,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-15,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-16,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-17,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-18,22,3,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-03-19,0,3,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-03-20,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-21,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-22,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-23,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-24,9,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-25,4,3,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-03-26,0,3,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-03-27,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-28,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-29,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-30,0,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-03-31,2,3,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-01,15,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-02,4,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-03,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-04,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-05,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-06,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-07,2,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-08,6,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-09,9,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-10,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-11,3,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-12,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-13,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-14,4,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-15,2,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-16,4,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-17,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-18,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-19,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-20,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-21,8,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-22,5,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-23,0,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-24,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-25,2,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-26,0,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-27,1,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-28,16,4,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-04-29,0,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-04-30,10,4,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-05-01,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-02,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-03,2,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-04,12,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-05,0,5,Spring,0,1,1,느티나무 셀프BBQ,1인 수저세트
2023-05-06,22,5,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-05-07,12,5,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-05-08,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-09,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-10,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-11,3,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-12,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-13,16,5,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-05-14,7,5,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-05-15,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-16,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-17,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-18,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-19,12,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-20,22,5,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-05-21,8,5,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-05-22,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-23,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-24,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-25,1,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-26,7,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-27,5,5,Spring,1,1,1,느티나무 셀프BBQ,1인 수저세트
2023-05-28,6,5,Spring,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-05-29,0,5,Spring,0,1,1,느티나무 셀프BBQ,1인 수저세트
2023-05-30,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-05-31,0,5,Spring,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-01,4,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-02,16,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-03,10,6,Summer,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-06-04,10,6,Summer,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-06-05,16,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-06,0,6,Summer,0,1,1,느티나무 셀프BBQ,1인 수저세트
2023-06-07,0,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-08,0,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-09,0,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-10,1,6,Summer,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-06-11,2,6,Summer,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-06-12,0,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-13,4,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-14,0,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-15,1,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-16,9,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-17,4,6,Summer,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-06-18,8,6,Summer,1,0,1,느티나무 셀프BBQ,1인 수저세트
2023-06-19,0,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
2023-06-20,5,6,Summer,0,0,0,느티나무 셀프BBQ,1인 수저세트
