영업일자,매출수량,month,season,is_weekend,is_holiday,is_day_off,영업장명,메뉴명
2023-01-01,0,1,Winter,1,1,1,미라시아,"(단체)브런치주중 36,000"
2023-01-02,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-03,5,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-04,39,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-05,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-06,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-07,0,1,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-01-08,0,1,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-01-09,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-10,31,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-11,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-12,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-13,16,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-14,0,1,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-01-15,0,1,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-01-16,37,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-17,75,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-18,39,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-19,14,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-20,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-21,0,1,Winter,1,1,1,미라시아,"(단체)브런치주중 36,000"
2023-01-22,0,1,Winter,1,1,1,미라시아,"(단체)브런치주중 36,000"
2023-01-23,0,1,Winter,0,1,1,미라시아,"(단체)브런치주중 36,000"
2023-01-24,0,1,Winter,0,1,1,미라시아,"(단체)브런치주중 36,000"
2023-01-25,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-26,11,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-27,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-28,0,1,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-01-29,0,1,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-01-30,0,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-01-31,8,1,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-01,0,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-02,24,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-03,20,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-04,0,2,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-02-05,0,2,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-02-06,0,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-07,22,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-08,29,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-09,67,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-10,0,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-11,0,2,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-02-12,0,2,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-02-13,0,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-14,0,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-15,3,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-16,25,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-17,60,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-18,0,2,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-02-19,0,2,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-02-20,42,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-21,22,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-22,31,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-23,0,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-24,50,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-25,0,2,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-02-26,0,2,Winter,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-02-27,22,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-02-28,0,2,Winter,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-01,0,3,Spring,0,1,1,미라시아,"(단체)브런치주중 36,000"
2023-03-02,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-03,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-04,0,3,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-03-05,0,3,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-03-06,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-07,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-08,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-09,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-10,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-11,0,3,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-03-12,0,3,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-03-13,6,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-14,58,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-15,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-16,52,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-17,35,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-18,0,3,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-03-19,0,3,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-03-20,58,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-21,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-22,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-23,19,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-24,60,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-25,0,3,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-03-26,0,3,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-03-27,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-28,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-29,0,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-30,69,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-03-31,56,3,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-01,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-02,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-03,0,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-04,8,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-05,2,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-06,43,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-07,82,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-08,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-09,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-10,0,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-11,148,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-12,108,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-13,29,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-14,75,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-15,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-16,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-17,0,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-18,14,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-19,0,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-20,56,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-21,123,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-22,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-23,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-24,12,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-25,149,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-26,38,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-27,118,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-28,120,4,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-04-29,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-04-30,0,4,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-05-01,0,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-02,0,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-03,82,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-04,0,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-05,23,5,Spring,0,1,1,미라시아,"(단체)브런치주중 36,000"
2023-05-06,0,5,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-05-07,0,5,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-05-08,0,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-09,63,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-10,36,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-11,110,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-12,127,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-13,0,5,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-05-14,0,5,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-05-15,5,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-16,81,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-17,46,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-18,140,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-19,93,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-20,0,5,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-05-21,0,5,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-05-22,84,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-23,97,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-24,28,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-25,162,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-26,22,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-27,0,5,Spring,1,1,1,미라시아,"(단체)브런치주중 36,000"
2023-05-28,0,5,Spring,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-05-29,0,5,Spring,0,1,1,미라시아,"(단체)브런치주중 36,000"
2023-05-30,1,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-05-31,41,5,Spring,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-06-01,176,6,Summer,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-06-02,70,6,Summer,0,0,0,미라시아,"(단체)브런치주중 36,000"
2023-06-03,0,6,Summer,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-06-04,0,6,Summer,1,0,1,미라시아,"(단체)브런치주중 36,000"
2023-06-05,0,6,Summer,0,0,0,미라시아,"(단체)브런치주중 36,000"
