영업일자,매출수량,month,season,is_weekend,is_holiday,is_day_off,영업장명,메뉴명
2023-01-01,0,1,Winter,1,1,1,연회장,Cass Beer
2023-01-02,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-03,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-04,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-05,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-06,65,1,Winter,0,0,0,연회장,Cass Beer
2023-01-07,0,1,Winter,1,0,1,연회장,Cass Beer
2023-01-08,0,1,Winter,1,0,1,연회장,Cass Beer
2023-01-09,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-10,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-11,22,1,Winter,0,0,0,연회장,Cass Beer
2023-01-12,59,1,Winter,0,0,0,연회장,Cass Beer
2023-01-13,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-14,0,1,Winter,1,0,1,연회장,Cass Beer
2023-01-15,0,1,Winter,1,0,1,연회장,Cass Beer
2023-01-16,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-17,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-18,55,1,Winter,0,0,0,연회장,Cass Beer
2023-01-19,8,1,Winter,0,0,0,연회장,Cass Beer
2023-01-20,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-21,0,1,Winter,1,1,1,연회장,Cass Beer
2023-01-22,0,1,Winter,1,1,1,연회장,Cass Beer
2023-01-23,0,1,Winter,0,1,1,연회장,Cass Beer
2023-01-24,0,1,Winter,0,1,1,연회장,Cass Beer
2023-01-25,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-26,69,1,Winter,0,0,0,연회장,Cass Beer
2023-01-27,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-28,0,1,Winter,1,0,1,연회장,Cass Beer
2023-01-29,0,1,Winter,1,0,1,연회장,Cass Beer
2023-01-30,0,1,Winter,0,0,0,연회장,Cass Beer
2023-01-31,0,1,Winter,0,0,0,연회장,Cass Beer
2023-02-01,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-02,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-03,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-04,0,2,Winter,1,0,1,연회장,Cass Beer
2023-02-05,0,2,Winter,1,0,1,연회장,Cass Beer
2023-02-06,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-07,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-08,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-09,68,2,Winter,0,0,0,연회장,Cass Beer
2023-02-10,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-11,0,2,Winter,1,0,1,연회장,Cass Beer
2023-02-12,0,2,Winter,1,0,1,연회장,Cass Beer
2023-02-13,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-14,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-15,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-16,35,2,Winter,0,0,0,연회장,Cass Beer
2023-02-17,46,2,Winter,0,0,0,연회장,Cass Beer
2023-02-18,0,2,Winter,1,0,1,연회장,Cass Beer
2023-02-19,0,2,Winter,1,0,1,연회장,Cass Beer
2023-02-20,4,2,Winter,0,0,0,연회장,Cass Beer
2023-02-21,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-22,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-23,45,2,Winter,0,0,0,연회장,Cass Beer
2023-02-24,19,2,Winter,0,0,0,연회장,Cass Beer
2023-02-25,0,2,Winter,1,0,1,연회장,Cass Beer
2023-02-26,0,2,Winter,1,0,1,연회장,Cass Beer
2023-02-27,0,2,Winter,0,0,0,연회장,Cass Beer
2023-02-28,0,2,Winter,0,0,0,연회장,Cass Beer
2023-03-01,0,3,Spring,0,1,1,연회장,Cass Beer
2023-03-02,0,3,Spring,0,0,0,연회장,Cass Beer
2023-03-03,0,3,Spring,0,0,0,연회장,Cass Beer
2023-03-04,0,3,Spring,1,0,1,연회장,Cass Beer
2023-03-05,0,3,Spring,1,0,1,연회장,Cass Beer
2023-03-06,0,3,Spring,0,0,0,연회장,Cass Beer
2023-03-07,0,3,Spring,0,0,0,연회장,Cass Beer
2023-03-08,0,3,Spring,0,0,0,연회장,Cass Beer
2023-03-09,0,3,Spring,0,0,0,연회장,Cass Beer
2023-03-10,0,3,Spring,0,0,0,연회장,Cass Beer
2023-03-11,0,3,Spring,1,0,1,연회장,Cass Beer
2023-03-12,0,3,Spring,1,0,1,연회장,Cass Beer
2023-03-13,37,3,Spring,0,0,0,연회장,Cass Beer
2023-03-14,0,3,Spring,0,0,0,연회장,Cass Beer
2023-03-15,0,3,Spring,0,0,0,연회장,Cass Beer
