영업일자,매출수량,month,season,is_weekend,is_holiday,is_day_off,영업장명,메뉴명
2023-01-01,78,1,Winter,1,1,1,카페테리아,공깃밥(추가)
2023-01-02,56,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-03,67,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-04,45,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-05,63,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-06,70,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-07,72,1,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-01-08,74,1,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-01-09,62,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-10,38,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-11,62,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-12,57,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-13,22,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-14,53,1,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-01-15,106,1,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-01-16,64,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-17,36,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-18,51,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-19,59,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-20,75,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-21,72,1,Winter,1,1,1,카페테리아,공깃밥(추가)
2023-01-22,61,1,Winter,1,1,1,카페테리아,공깃밥(추가)
2023-01-23,113,1,Winter,0,1,1,카페테리아,공깃밥(추가)
2023-01-24,63,1,Winter,0,1,1,카페테리아,공깃밥(추가)
2023-01-25,54,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-26,54,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-27,68,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-28,120,1,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-01-29,76,1,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-01-30,46,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-01-31,71,1,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-01,54,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-02,54,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-03,52,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-04,106,2,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-02-05,96,2,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-02-06,48,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-07,44,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-08,43,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-09,42,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-10,35,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-11,94,2,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-02-12,109,2,Winter,1,0,1,카페테리아,공깃밥(추가)
2023-02-13,65,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-14,45,2,Winter,0,0,0,카페테리아,공깃밥(추가)
2023-02-15,39,2,Winter,0,0,0,카페테리아,공깃밥(추가)
