영업일자,매출수량,month,season,is_weekend,is_holiday,is_day_off,영업장명,메뉴명
2023-01-01,514,1,Winter,1,1,1,포레스트릿,꼬치어묵
2023-01-02,405,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-03,357,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-04,340,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-05,481,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-06,530,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-07,1072,1,Winter,1,0,1,포레스트릿,꼬치어묵
2023-01-08,632,1,Winter,1,0,1,포레스트릿,꼬치어묵
2023-01-09,420,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-10,391,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-11,345,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-12,383,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-13,205,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-14,474,1,Winter,1,0,1,포레스트릿,꼬치어묵
2023-01-15,649,1,Winter,1,0,1,포레스트릿,꼬치어묵
2023-01-16,450,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-17,435,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-18,418,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-19,470,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-20,710,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-21,666,1,Winter,1,1,1,포레스트릿,꼬치어묵
2023-01-22,731,1,Winter,1,1,1,포레스트릿,꼬치어묵
2023-01-23,1130,1,Winter,0,1,1,포레스트릿,꼬치어묵
2023-01-24,339,1,Winter,0,1,1,포레스트릿,꼬치어묵
2023-01-25,219,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-26,387,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-27,629,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-28,1107,1,Winter,1,0,1,포레스트릿,꼬치어묵
2023-01-29,737,1,Winter,1,0,1,포레스트릿,꼬치어묵
2023-01-30,400,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-01-31,318,1,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-01,295,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-02,408,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-03,625,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-04,1165,2,Winter,1,0,1,포레스트릿,꼬치어묵
2023-02-05,686,2,Winter,1,0,1,포레스트릿,꼬치어묵
2023-02-06,330,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-07,288,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-08,294,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-09,320,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-10,487,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-11,958,2,Winter,1,0,1,포레스트릿,꼬치어묵
2023-02-12,628,2,Winter,1,0,1,포레스트릿,꼬치어묵
2023-02-13,317,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-14,284,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-15,254,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-16,344,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-17,512,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-18,551,2,Winter,1,0,1,포레스트릿,꼬치어묵
2023-02-19,425,2,Winter,1,0,1,포레스트릿,꼬치어묵
2023-02-20,229,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-21,199,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-22,187,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-23,212,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-24,294,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-25,520,2,Winter,1,0,1,포레스트릿,꼬치어묵
2023-02-26,352,2,Winter,1,0,1,포레스트릿,꼬치어묵
2023-02-27,157,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-02-28,173,2,Winter,0,0,0,포레스트릿,꼬치어묵
2023-03-01,93,3,Spring,0,1,1,포레스트릿,꼬치어묵
2023-03-02,0,3,Spring,0,0,0,포레스트릿,꼬치어묵
2023-03-03,0,3,Spring,0,0,0,포레스트릿,꼬치어묵
2023-03-04,0,3,Spring,1,0,1,포레스트릿,꼬치어묵
2023-03-05,0,3,Spring,1,0,1,포레스트릿,꼬치어묵
2023-03-06,0,3,Spring,0,0,0,포레스트릿,꼬치어묵
2023-03-07,0,3,Spring,0,0,0,포레스트릿,꼬치어묵
2023-03-08,0,3,Spring,0,0,0,포레스트릿,꼬치어묵
2023-03-09,0,3,Spring,0,0,0,포레스트릿,꼬치어묵
2023-03-10,0,3,Spring,0,0,0,포레스트릿,꼬치어묵
2023-03-11,0,3,Spring,1,0,1,포레스트릿,꼬치어묵
