영업일자,매출수량,month,season,is_weekend,is_holiday,is_day_off,영업장명,메뉴명
2023-01-01,0,1,Winter,1,1,1,화담숲주막,느린마을 막걸리
2023-01-02,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-03,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-04,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-05,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-06,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-07,0,1,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-01-08,0,1,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-01-09,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-10,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-11,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-12,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-13,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-14,0,1,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-01-15,0,1,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-01-16,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-17,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-18,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-19,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-20,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-21,0,1,Winter,1,1,1,화담숲주막,느린마을 막걸리
2023-01-22,0,1,Winter,1,1,1,화담숲주막,느린마을 막걸리
2023-01-23,0,1,Winter,0,1,1,화담숲주막,느린마을 막걸리
2023-01-24,0,1,Winter,0,1,1,화담숲주막,느린마을 막걸리
2023-01-25,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-26,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-27,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-28,0,1,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-01-29,0,1,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-01-30,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-01-31,0,1,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-01,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-02,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-03,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-04,0,2,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-02-05,0,2,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-02-06,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-07,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-08,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-09,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-10,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-11,0,2,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-02-12,0,2,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-02-13,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-14,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-15,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-16,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-17,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-18,0,2,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-02-19,0,2,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-02-20,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-21,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-22,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-23,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-24,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-25,0,2,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-02-26,0,2,Winter,1,0,1,화담숲주막,느린마을 막걸리
2023-02-27,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-02-28,0,2,Winter,0,0,0,화담숲주막,느린마을 막걸리
2023-03-01,0,3,Spring,0,1,1,화담숲주막,느린마을 막걸리
2023-03-02,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-03,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-04,0,3,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-03-05,0,3,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-03-06,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-07,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-08,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-09,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-10,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-11,0,3,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-03-12,0,3,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-03-13,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-14,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-15,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-16,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-17,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-18,0,3,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-03-19,0,3,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-03-20,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-21,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-22,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-23,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-24,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-25,0,3,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-03-26,0,3,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-03-27,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-28,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-29,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-30,0,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-03-31,86,3,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-01,84,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-02,103,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-03,0,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-04,76,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-05,42,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-06,35,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-07,91,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-08,91,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-09,108,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-10,0,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-11,29,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-12,85,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-13,87,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-14,57,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-15,47,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-16,76,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-17,0,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-18,18,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-19,51,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-20,15,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-21,86,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-22,93,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-23,148,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-24,0,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-25,27,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-26,22,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-27,56,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-28,32,4,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-04-29,43,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-04-30,82,4,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-05-01,51,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-02,28,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-03,46,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-04,25,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-05,18,5,Spring,0,1,1,화담숲주막,느린마을 막걸리
2023-05-06,22,5,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-05-07,48,5,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-05-08,0,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-09,16,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-10,31,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-11,18,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-12,25,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-13,76,5,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-05-14,46,5,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-05-15,0,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-16,26,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-17,20,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-18,18,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-19,56,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-20,62,5,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-05-21,60,5,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-05-22,0,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-23,17,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-24,8,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-25,8,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-26,11,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-27,57,5,Spring,1,1,1,화담숲주막,느린마을 막걸리
2023-05-28,30,5,Spring,1,0,1,화담숲주막,느린마을 막걸리
2023-05-29,16,5,Spring,0,1,1,화담숲주막,느린마을 막걸리
2023-05-30,12,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-05-31,3,5,Spring,0,0,0,화담숲주막,느린마을 막걸리
2023-06-01,16,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-02,29,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-03,52,6,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-06-04,34,6,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-06-05,40,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-06,67,6,Summer,0,1,1,화담숲주막,느린마을 막걸리
2023-06-07,21,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-08,24,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-09,43,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-10,67,6,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-06-11,47,6,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-06-12,0,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-13,26,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-14,27,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-15,24,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-16,42,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-17,21,6,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-06-18,28,6,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-06-19,0,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-20,5,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-21,19,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-22,33,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-23,38,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-24,33,6,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-06-25,43,6,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-06-26,0,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-27,7,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-28,7,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-29,7,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-06-30,24,6,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-01,31,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-02,15,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-03,0,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-04,1,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-05,6,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-06,4,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-07,17,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-08,34,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-09,18,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-10,0,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-11,5,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-12,1,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-13,8,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-14,22,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-15,24,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-16,17,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-17,0,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-18,10,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-19,1,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-20,0,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-21,6,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-22,23,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-23,13,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-24,0,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-25,14,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-26,12,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-27,6,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-28,7,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-07-29,28,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-30,18,7,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-07-31,0,7,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-01,6,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-02,8,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-03,10,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-04,6,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-05,15,8,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-08-06,7,8,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-08-07,0,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-08,8,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-09,3,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-10,0,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-11,11,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-12,24,8,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-08-13,22,8,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-08-14,15,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-15,16,8,Summer,0,1,1,화담숲주막,느린마을 막걸리
2023-08-16,6,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-17,2,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-18,4,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-19,22,8,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-08-20,12,8,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-08-21,0,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-22,3,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-23,0,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-24,4,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-25,14,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-26,31,8,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-08-27,18,8,Summer,1,0,1,화담숲주막,느린마을 막걸리
2023-08-28,0,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-29,8,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-30,7,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-08-31,11,8,Summer,0,0,0,화담숲주막,느린마을 막걸리
2023-09-01,18,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-02,72,9,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-09-03,23,9,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-09-04,0,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-05,3,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-06,3,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-07,8,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-08,56,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-09,44,9,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-09-10,42,9,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-09-11,0,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-12,18,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-13,6,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-14,19,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-15,32,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-16,56,9,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-09-17,41,9,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-09-18,0,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-19,19,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-20,9,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-21,34,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-22,41,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-23,93,9,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-09-24,79,9,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-09-25,0,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-26,16,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-27,8,9,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-09-28,103,9,Autumn,0,1,1,화담숲주막,느린마을 막걸리
2023-09-29,126,9,Autumn,0,1,1,화담숲주막,느린마을 막걸리
2023-09-30,127,9,Autumn,1,1,1,화담숲주막,느린마을 막걸리
2023-10-01,133,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-02,101,10,Autumn,0,1,1,화담숲주막,느린마을 막걸리
2023-10-03,88,10,Autumn,0,1,1,화담숲주막,느린마을 막걸리
2023-10-04,33,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-05,29,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-06,42,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-07,143,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-08,158,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-09,120,10,Autumn,0,1,1,화담숲주막,느린마을 막걸리
2023-10-10,72,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-11,84,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-12,92,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-13,112,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-14,106,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-15,147,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-16,0,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-17,113,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-18,158,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-19,113,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-20,136,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-21,113,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-22,126,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-23,123,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-24,138,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-25,115,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-26,109,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-27,122,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-28,127,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-29,135,10,Autumn,1,0,1,화담숲주막,느린마을 막걸리
2023-10-30,110,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
2023-10-31,140,10,Autumn,0,0,0,화담숲주막,느린마을 막걸리
