영업일자,매출수량,month,season,is_weekend,is_holiday,is_day_off,영업장명,메뉴명
2023-01-01,0,1,Winter,1,1,1,화담숲카페,메밀미숫가루
2023-01-02,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-03,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-04,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-05,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-06,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-07,0,1,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-01-08,0,1,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-01-09,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-10,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-11,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-12,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-13,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-14,0,1,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-01-15,0,1,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-01-16,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-17,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-18,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-19,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-20,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-21,0,1,Winter,1,1,1,화담숲카페,메밀미숫가루
2023-01-22,0,1,Winter,1,1,1,화담숲카페,메밀미숫가루
2023-01-23,0,1,Winter,0,1,1,화담숲카페,메밀미숫가루
2023-01-24,0,1,Winter,0,1,1,화담숲카페,메밀미숫가루
2023-01-25,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-26,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-27,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-28,0,1,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-01-29,0,1,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-01-30,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-01-31,0,1,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-01,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-02,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-03,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-04,0,2,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-02-05,0,2,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-02-06,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-07,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-08,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-09,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-10,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-11,0,2,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-02-12,0,2,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-02-13,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-14,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-15,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-16,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-17,0,2,Winter,0,0,0,화담숲카페,메밀미숫가루
2023-02-18,0,2,Winter,1,0,1,화담숲카페,메밀미숫가루
2023-02-19,0,2,Winter,1,0,1,화담숲카페,메밀미숫가루
