날짜,평균기온,최저기온,최고기온
2023-01-01,-2.1,-6.6,3.5
2023-01-02,-5.6,-9.1,-1.7
2023-01-03,-6.3,-11.4,-0.2
2023-01-04,-3.1,-9.2,2.5
2023-01-05,-3.6,-9,2.1
2023-01-06,-0.9,-7.8,4.1
2023-01-07,0.5,-3.8,3
2023-01-08,0.2,-6,4.9
2023-01-09,2.3,-3,6.8
2023-01-10,-0.2,-6.3,7.2
2023-01-11,0.2,-4.9,7.4
2023-01-12,4.7,-4,12.6
2023-01-13,7.1,4.2,9.4
2023-01-14,4.9,3.2,6.7
2023-01-15,-1.5,-3.7,3.3
2023-01-16,-5.2,-7.4,-1
2023-01-17,-3,-7.5,0.2
2023-01-18,-2.1,-5.2,2.8
2023-01-19,-0.1,-7,5.2
2023-01-20,-2.4,-7.5,3.1
2023-01-21,-4,-10.4,1.2
2023-01-22,-0.1,-2.3,3.4
2023-01-23,-0.5,-5.5,5.4
2023-01-24,-13.4,-16.3,-5.6
2023-01-25,-10.8,-16.7,-5
2023-01-26,-5.8,-8.7,-3.1
2023-01-27,-7.3,-10.5,-3.2
2023-01-28,-5.6,-11.6,-0.4
2023-01-29,-1.8,-9.1,5.3
2023-01-30,-1.3,-6.1,3.9
2023-01-31,2.1,-5.8,9.4
2023-02-01,1.2,-2.2,5.6
2023-02-02,-2.5,-5.1,1.4
2023-02-03,-2,-4.9,3.1
2023-02-04,-1.6,-7.1,5.2
2023-02-05,-0.1,-5.8,7.2
2023-02-06,1.8,-4.3,9.1
2023-02-07,1.7,-3,8.6
2023-02-08,0.5,-3.7,7.3
2023-02-09,3.5,-5,9.7
2023-02-10,3.4,-0.6,7.8
2023-02-11,1.3,-3.4,7.8
2023-02-12,2.9,-3.6,8
2023-02-13,5.8,2.2,9.6
2023-02-14,1.4,-2.8,5.9
2023-02-15,2.8,-0.8,7.6
2023-02-16,1.5,-2.5,5.4
2023-02-17,2.9,-3.1,9.8
2023-02-18,5.8,2.2,9.3
2023-02-19,2.8,-1.8,6.2
2023-02-20,-0.6,-3.8,3.1
2023-02-21,-1.6,-5.1,4.1
2023-02-22,0,-6.2,7.4
2023-02-23,1.6,-3.9,8.5
2023-02-24,2.7,-1.3,8.7
2023-02-25,0.8,-3.4,5.5
2023-02-26,1.2,-5.1,8.5
2023-02-27,2.6,-4.4,11.5
2023-02-28,3.6,-4.5,9.6
2023-03-01,5.6,2.8,8.7
2023-03-02,1.5,-1.6,5.7
2023-03-03,4,-3.3,10.8
2023-03-04,6.6,2.3,14.4
2023-03-05,6,-1.2,15.3
2023-03-06,7.1,-1.8,16.1
2023-03-07,10.1,3.6,18.4
2023-03-08,11.6,3.8,19
2023-03-09,9.9,4.8,13.3
2023-03-10,12.1,2.2,22.5
2023-03-11,13.6,6.5,23.5
2023-03-12,5.4,0.9,10.2
2023-03-13,3,-1.4,7.6
2023-03-14,8.6,2.4,15.3
2023-03-15,8.5,3,17.4
2023-03-16,4.5,0.1,8.9
2023-03-17,6.4,-1.2,13.7
2023-03-18,7,1.7,13.9
2023-03-19,6.1,0.3,14.3
2023-03-20,7,-1.6,16.6
2023-03-21,10.7,1.4,21.3
2023-03-22,15.6,4.9,24.9
2023-03-23,15.8,11.4,22.2
2023-03-24,10.9,6.5,16.4
2023-03-25,10.7,6.4,16.8
2023-03-26,8.4,3.4,14.4
2023-03-27,6,0.1,13.6
2023-03-28,7.8,1,15.2
2023-03-29,9.9,1.7,19.8
2023-03-30,11.2,2.6,20.6
2023-03-31,11.8,3.4,21.8
2023-04-01,14.7,4.8,25.3
2023-04-02,17.1,8.9,23.7
2023-04-03,17.4,7.4,24.6
2023-04-04,17.1,12.4,22.5
2023-04-05,11.9,8.5,15.1
2023-04-06,8.3,6.5,9.5
2023-04-07,7.9,3.9,14.8
2023-04-08,7.6,1.5,13.9
2023-04-09,9.8,2.1,18
2023-04-10,12.4,4.1,19.2
2023-04-11,12.7,7.8,18.2
2023-04-12,8.9,2.3,15.2
2023-04-13,11.3,3.7,18.4
2023-04-14,15.3,9.2,22.8
2023-04-15,11.8,7.4,16.3
2023-04-16,10.4,6.5,16.2
2023-04-17,13,5.1,19.2
2023-04-18,14.3,10.9,17.7
2023-04-19,18.3,11.4,28.2
2023-04-20,15.7,12.3,19.9
2023-04-21,16.8,11.9,22.8
2023-04-22,16.7,12.7,21.4
2023-04-23,15,9.4,21.1
2023-04-24,14.4,9.5,20.6
2023-04-25,10.2,7.1,12.5
2023-04-26,9,5.5,11.9
2023-04-27,11.5,3.3,20
2023-04-28,14.9,6,21.7
2023-04-29,12.6,9.3,15.4
2023-04-30,12.8,7.1,18.7
2023-05-01,13.7,8.9,20.1
2023-05-02,15.9,6.3,24.1
2023-05-03,18.4,9.8,25.8
2023-05-04,20.4,13.8,26.7
2023-05-05,19.3,17.9,20.9
2023-05-06,12.9,12,19.1
2023-05-07,12.4,7.6,16.8
2023-05-08,13.1,5.1,20.7
2023-05-09,14.8,6.7,22.6
2023-05-10,16.2,8,25.3
2023-05-11,17.5,8.9,26
2023-05-12,16.8,10.5,24.3
2023-05-13,16.7,10.8,23
2023-05-14,16.9,10.5,23.1
2023-05-15,19.4,11.1,27.4
2023-05-16,22.1,14.8,30.4
2023-05-17,22.1,14.6,28.2
2023-05-18,20.5,18,24.7
2023-05-19,20.9,15.4,25.9
2023-05-20,20,15.6,26.2
2023-05-21,17,15.1,20.8
2023-05-22,18.6,14.5,25
2023-05-23,18.5,12.4,25.3
